"Name",                   "Formula",         "Mass", "log P", "HB Donors", "HB Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity", "Density", "Boiling", "Melting",  "SMILES","InChl"
"Paxlovid",               C₂₃H₃₂F₃N₅O₄,     499.5,   2.2,     3,           8,              7,                 131,             35,           964,          1.3,       742.4,      192.9,"CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C","InChI=1S/C23H32F3N5O4/c1-21(2,3)16(30-20(35)23(24,25)26)19(34)31-10-13-14(22(13,4)5)15(31)18(33)29-12(9-27)8-11-6-7-28-17(11)32/h11-16H,6-8,10H2,1-5H3,(H,28,32)(H,29,33)(H,30,35)/t11-,12-,13-,14-,15-,16+/m0/s1"
"Penicillin G",           C₁₆H₁₈N₂O₄S,      334.4,   1.8,     2,           5,              4,                 112,             23,           530,          1.4,       663.3,      215.5,"CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C","InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12+,14-/m1/s1"
"Pentacene",              C₂₂H₁₄,           278.3,  7.14,     0,           0,              0,                 0,               22,           325,          1.2,       524.7,        372,"C1=CC=C2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC2=C1","InChI=1S/C22H14/c1-2-6-16-10-20-14-22-12-18-8-4-3-7-17(18)11-21(22)13-19(20)9-15(16)5-1/h1-14H"
"Pentadecane",            C₁₅H₃₂,          212.41,   7.7,     0,           0,             12,                 0,               15,          84.2,          0.769,     270.6,        9.9,"CCCCCCCCCCCCCCC","InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3"
"Pentane",                C₅H₁₂,            72.15,   3.4,     0,           0,              2,                 0,                5,           7.5,          0.626,     36,          -130,"CCCCC","InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
"Phenylalanine",          C₉H₁₁NO₂,        165.19,  1.11,     2,           3,              3,                 63.3,            12,           153,          1.2,       307.5,        266,"C1=CC=C(C=C1)C[C@@H](C(=O)O)N","InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1"
"Proline",                C₅H₉NO₂,         115.13, -0.57,     2,           3,              1,                 49.3,             8,           103,          1.2,       252.2,        208,"C1C[C@H](NC1)C(=O)O","InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1"
"Propane",                C₃H₈,             44.10,   1.8,     0,           0,              0,                 0,                3,           0,            0.564,     -42.1,       -188,"CCC","InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
"Propylene",              C₃H₆,             42.08,  1.84,     0,           0,              0,                 0,                3,           7.5,          0.6,       -47.7,       -185,"CC=C","InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
"Pyrrolysine",            C₁₂H₂₁N₃O₃,      255.31, -2.36,     3,           5,              7,                 105,             18,           331,          1.3,       546.9,     305.09,"C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@@H](C(=O)O)N","InChI=1S/C12H21N3O3/c1-8-5-7-14-10(8)11(16)15-6-3-2-4-9(13)12(17)18/h7-10H,2-6,13H2,1H3,(H,15,16)(H,17,18)/t8-,9+,10-/m1/s1"
"Selenocysteine",         C₃H₆NO₂Se,       167.06,  0.34,     2,           3,              2,                 63.3,             7,           75.3,         1.2,       440.2,        143,"C([C@@H](C(=O)O)N)[Se]","InChI=1S/C3H6NO2Se/c4-2(1-7)3(5)6/h2H,1,4H2,(H,5,6)/t2-/m0/s1"
"Serine",                 C₃H₇NO₃,         105.09, -1.58,     3,           4,              2,                 83.6,             7,           72.6,         1.4,       394.8,        228,"C([C@@H](C(=O)O)N)O","InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1"
"Stearic Acid",           C₁₈H₃₆O₂,         284.5,  8.22,     1,           2,             16,                 37.3,            20,           202,          0.9,       359.4,       69.6,"CCCCCCCCCCCCCCCCCC(=O)O","InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)"
"Tetracene",              C₁₈H₁₂,           228.3,  5.91,     0,           0,              0,                 0,               18,           236,          1.2,       436.7,        357,"C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1","InChI=1S/C18H12/c1-2-6-14-10-18-12-16-8-4-3-7-15(16)11-17(18)9-13(14)5-1/h1-12H"
"Tetracosane",            C₂₄H₅₀,          338.7,  13.51,     0,           0,             21,                 0,               24,           174,          0.797,     391.3,         52,"CCCCCCCCCCCCCCCCCCCCCCCC","InChI=1S/C24H50/c1-3-5-7-9-11-13-15-17-19-21-23-24-22-20-18-16-14-12-10-8-6-4-2/h3-24H2,1-2H3"
"Tetradecane",            C₁₄H₃₀,          198.39,   7.2,     0,           0,             11,                 0,               14,           74,           0.762,     253.52,       5.8,"CCCCCCCCCCCCCC","InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3"
"Thioketal Haloperidol",  C₂₃H₂₇ClFNOS₂,    452.1,   5.4,     1,           5,              6,                 74.1,            29,           509,          1.3,       593.9,        400,"C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC3(SCCS3)C4=CC=C(C=C4)F","InChI=1S/C23H27ClFNOS2/c24-20-6-2-18(3-7-20)22(27)11-14-26(15-12-22)13-1-10-23(28-16-17-29-23)19-4-8-21(25)9-5-19/h2-9,27H,1,10-17H2"
"Thorazine",              C₁₇H₁₉ClN₂S,      318.9,   5.2,     0,           3,              4,                 31.8,            21,           339,          1.2,       450.1,         57,"CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl","InChI=1S/C17H19ClN2S/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20/h3-4,6-9,12H,5,10-11H2,1-2H3"
"Threonine",              C₄H₉NO₃,         119.12, -1.23,     3,           4,              2,                 83.6,             8,           93.3,         1.3,       345.8,        256,"C[C@H]([C@@H](C(=O)O)N)O","InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1"
"Thymine",                C₅H₆N₂O₂,        126.11, -0.12,     2,           2,              0,                 58.2,             9,           195,          1.2,       403.8,        320,"CC1=CNC(=O)NC1=O","InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)"
"Toluene",                C₇H₈,             92.14,  2.73,     0,           0,              0,                 0,                7,            42,          0.86,      110.6,        -95,"CC1=CC=CC=C1","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
"Tricosane",              C₂₃H₄₈,           324.6, 12.98,     0,           0,             20,                 0,               23,           165,          0.797,     380,           48,"CCCCCCCCCCCCCCCCCCCCCCC","InChI=1S/C23H48/c1-3-5-7-9-11-13-15-17-19-21-23-22-20-18-16-14-12-10-8-6-4-2/h3-23H2,1-2H3"
"Tridecane",              C₁₃H₂₈,           184.36,  6.6,     0,           0,             10,                 0,               13,           66.1,         0.756,     235.4,      -5.37,"CCCCCCCCCCCCC","InChI=1S/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H3"
"Tryptophan",             C₁₁H₁₂N₂O₂,       204.22, 1.04,     3,           3,              3,                 79.1,            15,           245,          1.4,       447.9,        280,"C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"
"Tyrosine",               C₉H₁₁NO₃,         181.19, 0.38,     3,           4,              3,                 83.6,            13,           176,          1.3,       385.2,        343,"C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1"
"Undecane",               C₁₁H₂₄,           156.31,  5.6,     0,           0,              8,                 0,               11,           49.1,         0.74,      195.9,     -25.54,"CCCCCCCCCCC","InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3"
"Uracil",                 C₄H₄N₂O₂,         112.09, -0.71,    2,           2,              0,                 58.2,             8,           161,          1.3,       440.5,        335,"C1=CNC(=O)NC1=O","InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
"Urea",                   CH₄N₂O,           60.056, -1.43,    2,           1,              0,                 69.1,             4,           29,           1.6,       165.1,      132.7,"C(=O)(N)N","InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)"
"Valine",                 C₅H₁₁NO₂,         117.15,  0.20,    2,           3,              2,                 63.3,             8,           90.4,         1.1,       213.6,        315,"CC(C)[C@@H](C(=O)O)N","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1"
"Vanillin",               C₈H₈O₃,           152.15,  1.21,    1,           3,              2,                 46.5,            11,           135,          1.06,      285,         81.5,"COC1=C(C=CC(=C1)C=O)O","InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3"
"Viagra",                 C₂₈H₃₈N₆O₁₁S,     666.7,   1.8,     5,          15,             12,                 250,             46,           1070,         1.447,     672.4,        187,"CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O","InChI=1S/C22H30N6O4S.C6H8O7/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28;7-3(8)1-6(13,5(11)12)2-4(9)10/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29);13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"
"Vitamin A",              C₂₀H₃₀O,          286.5,   6.84,    1,           1,              5,                 20.2,            21,           496,          1,         421.2,         63,"CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C","InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3/b9-6+,12-11+,16-8+,17-13+"
"Vitamin C",              C₆H₈O₆,           176.12, -2.41,    4,           6,              2,                 107,             12,           232,          1.65,      552.7,        190,"C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O","InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1"
"Vitamin D",              C₂₇H₄₄O,          384.6,   9.72,    1,           1,              6,                 20.2,            28,           610,          1,         496.4,    -182.85,"C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C","InChI=1S/C27H44O/c1-19(2)8-6-9-21(4)25-15-16-26-22(10-7-17-27(25,26)5)12-13-23-18-24(28)14-11-20(23)3/h12-13,19,21,24-26,28H,3,6-11,14-18H2,1-2,4-5H3/b22-12+,23-13-/t21-,24+,25-,26+,27-/m1/s1"
"Voxelotor",              C₁₉H₁₉N₃O₃,       337.4,   2.7,     1,           5,              6,                 77.2,            25,           434,          1.2,       539.2,         80,"CC(C)N1C(=CC=N1)C2=C(C=CC=N2)COC3=CC=CC(=C3C=O)O","InChI=1S/C19H19N3O3/c1-13(2)22-16(8-10-21-22)19-14(5-4-9-20-19)12-25-18-7-3-6-17(24)15(18)11-23/h3-11,13,24H,12H2,1-2H3"
"Water",                  H₂O,             18.015,  -0.5,     1,           1,              0,                 1,                1,           0,            1,         100,            0,"O","InChI=1S/H2O/h1H2"
"Xenon",                  Xe,              131.29,  1.28,     0,           0,              0,                 0,                1,           0,            0.005894,  -108.1,   -111.75,"[Xe]","InChI=1S/Xe"
"Zidovudine",             C₁₀H₁₃N₅O₄,      267.24,  0.05,     2,           6,              3,                 93.2,            19,           484,          1.34,      410.43,       113,"CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]","InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1"
"Zyrtec",                 C₂₁H₂₇Cl₃N₂O₃,    461.8,  0.86,     3,           5,              8,                 53,              29,           443,          1.237,     542.1,        110,"C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl","InChI=1S/C21H25ClN2O3.2ClH/c22-19-8-6-18(7-9-19)21(17-4-2-1-3-5-17)24-12-10-23(11-13-24)14-15-27-16-20(25)26;;/h1-9,21H,10-16H2,(H,25,26);2*1H"
